rating,date_published,user,is_user,platform,game_id
3,2007-02-22,3TeEjRLMc83UcGoOT,0,Wii,25103
1,2007-03-01,SE463G7LBrvlxV,1,Wii,25103
5,2007-03-05,8oBXpUkS6CH,2,Wii,25103
6,2007-03-05,OeqtCoQgU3,3,Wii,25103
9,2007-03-12,KFd3iGnVODDjanFcJ9P,4,Wii,25103
7,2007-03-16,7u0PK3ehpGoAf4R1yKJM,5,Wii,25103
6,2007-03-21,CVrpGV,6,Wii,25103
2,2007-03-25,31sYZPqGi7,7,Wii,25103
5,2007-03-29,EjcvrP5oUzv,8,Wii,25103
3,2007-03-30,9inyUA2,9,Wii,25103
4,2007-04-02,hUxsQ32PSEagPrT37J2,10,Wii,25103
3,2007-04-10,IG2aWE5dq,11,Wii,25103
2,2007-04-14,KmyxcSCQCRc,12,Wii,25103
6,2007-04-13,n18eyNQtnH,13,Wii,25103
5,2007-04-21,UkArJMz2P9noV,14,Wii,25103
4,2007-04-23,lVTpI,15,Wii,25103
7,2007-04-26,yykwxqoj79YIgJ,16,Wii,25103
3,2007-05-04,KCfpGG1gDwntVIF,17,Wii,25103
5,2007-05-06,Goprw,18,Wii,25103
10,2007-05-06,hM2tl2nynVINz,19,Wii,25103
3,2007-05-13,E9qdWTTZbeFhufvawvOY,20,Wii,25103
7,2007-05-17,wX3Ososs6IjqcFp,21,Wii,25103
6,2007-05-23,cRiPj2zZ,22,Wii,25103
4,2007-05-28,GlqTJoM,23,Wii,25103
2,2007-05-28,33kCTsA3DchRqjCwf7S,24,Wii,25103
8,2007-06-02,05HzHHYVD0U1GdfQ,25,Wii,25103
4,2007-06-07,mkmKSCc0Lkm9,26,Wii,25103
6,2007-06-12,NVmr7,27,Wii,25103
7,2007-06-15,vLxu5rboSJl,28,Wii,25103
3,2007-06-18,rmDdcwsrv60jqKAuD,29,Wii,25103
3,2007-06-24,JUuETZ6YxYBN6xB,30,Wii,25103
8,2007-06-25,ieRNAnn,31,Wii,25103
